,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
0,Abinash Das,IND,0,8th Pass,58,"Rs 3,72,751 ~ 3 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
1,Aron Murmu,IND,0,8th Pass,26,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
2,Ashim Roy,IND,0,Graduate,39,"Rs 1,29,81,538 ~ 1 Crore+","Rs 25,00,864 ~ 25 Lacs+",ALIPURDUAR,WestBengal2021,7
3,Ashok Lama,National Peoples Party,1,12th Pass,50,"Rs 1,61,647 ~ 1 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
4,Avijit Narjinary,INC,0,12th Pass,48,"Rs 10,31,918 ~ 10 Lacs+","Rs 2,90,000 ~ 2 Lacs+",ALIPURDUAR,WestBengal2021,0
5,Bimal Roy,Amra Bangalee,0,8th Pass,54,"Rs 5,63,857 ~ 5 Lacs+","Rs 1,80,000 ~ 1 Lacs+",ALIPURDUAR,WestBengal2021,0
6,Binay Narjinary,IND,0,10th Pass,42,"Rs 5,01,841 ~ 5 Lacs+","Rs 50,000 ~ 50 Thou+",ALIPURDUAR,WestBengal2021,0
7,Bishal Lama,BJP,6,Graduate,39,"Rs 8,59,230 ~ 8 Lacs+","Rs 3,60,750 ~ 3 Lacs+",ALIPURDUAR,WestBengal2021,7
8,Chanchal Narjinary,LJP,0,8th Pass,30,"Rs 25,400 ~ 25 Thou+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
9,Deba Prasad Roy,INC,0,Graduate,72,"Rs 1,18,91,083 ~ 1 Crore+",Rs 0 ~,ALIPURDUAR,WestBengal2021,7
10,Dipak Barman,BJP,8,Post Graduate,46,"Rs 88,33,243 ~ 88 Lacs+","Rs 29,76,991 ~ 29 Lacs+",ALIPURDUAR,WestBengal2021,0
11,Dipak Chandra Mandal (Santosh),IND,0,Graduate,42,"Rs 12,53,086 ~ 12 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,7
12,Hakim Mahali,Bahujan Mukti Party,0,Graduate,36,"Rs 5,500 ~ 5 Thou+",Rs 0 ~,ALIPURDUAR,WestBengal2021,7
13,Kalawati Chik Baraik,JD(U),0,Graduate,44,"Rs 1,55,915 ~ 1 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,7
14,Kishor Minj,Revolutionary Socialist Party,0,Graduate,37,"Rs 1,38,890 ~ 1 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,7
15,Kshitish Chandra Ray,CPI(M),2,12th Pass,51,"Rs 12,46,413 ~ 12 Lacs+","Rs 51,605 ~ 51 Thou+",ALIPURDUAR,WestBengal2021,0
16,Kushal Kumar Roy,IND,0,10th Pass,42,"Rs 7,81,185 ~ 7 Lacs+","Rs 3,00,000 ~ 3 Lacs+",ALIPURDUAR,WestBengal2021,0
17,Leos Kujur (Urao),AITC,6,Graduate,46,"Rs 5,87,000 ~ 5 Lacs+","Rs 38,622 ~ 38 Thou+",ALIPURDUAR,WestBengal2021,7
18,Madan Kumar Uraon,JD(U),0,Post Graduate,34,"Rs 26,14,500 ~ 26 Lacs+","Rs 41,000 ~ 41 Thou+",ALIPURDUAR,WestBengal2021,0
19,Manoj Kumar Oraon,BJP,0,Graduate Professional,41,"Rs 26,96,261 ~ 26 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
20,Manoj Tigga,BJP,7,Graduate,48,"Rs 32,02,520 ~ 32 Lacs+","Rs 16,06,911 ~ 16 Lacs+",ALIPURDUAR,WestBengal2021,7
21,Nikhil Chandra Raibir,IND,0,10th Pass,59,"Rs 2,71,894 ~ 2 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
22,Panchu Oraon,National Peoples Party,1,8th Pass,31,"Rs 3,52,200 ~ 3 Lacs+","Rs 80,000 ~ 80 Thou+",ALIPURDUAR,WestBengal2021,0
23,Passang Lama,AITC,12,10th Pass,48,"Rs 95,95,405 ~ 95 Lacs+","Rs 8,24,248 ~ 8 Lacs+",ALIPURDUAR,WestBengal2021,0
24,Pijush Kanti Sarma,SUCI(C),0,Graduate,55,"Rs 47,500 ~ 47 Thou+",Rs 0 ~,ALIPURDUAR,WestBengal2021,7
25,Prakash Kujur,IND,0,Graduate,67,"Rs 74,41,693 ~ 74 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,7
26,Rajesh Lakra,AITC,3,10th Pass,45,"Rs 10,98,121 ~ 10 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
27,Rekha Lakra (Ekka),IND,0,12th Pass,41,"Rs 36,33,500 ~ 36 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
28,Rinku Ghosh,IND,0,Post Graduate,39,"Rs 60,95,735 ~ 60 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
29,Shailen Marandi,Bahujan Mukti Party,0,12th Pass,37,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
30,Shrilal Oron,Kamatapur Peoples Party (United),0,Others,43,Nil,Rs 0 ~,ALIPURDUAR,WestBengal2021,0
31,Sourav Chakraborty (Ghutis),AITC,1,Doctorate,48,"Rs 5,17,69,412 ~ 5 Crore+",Rs 0 ~,ALIPURDUAR,WestBengal2021,10
32,Subhash Chandra Roy,AITC,1,10th Pass,49,"Rs 90,52,928 ~ 90 Lacs+","Rs 4,69,889 ~ 4 Lacs+",ALIPURDUAR,WestBengal2021,0
33,Subhash Lohar,Revolutionary Socialist Party,0,8th Pass,48,"Rs 39,628 ~ 39 Thou+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
34,Sudhist Baraik,SUCI(C),0,10th Pass,43,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
35,Sukumar Minj,IND,0,10th Pass,39,"Rs 10,65,674 ~ 10 Lacs+","Rs 1,00,000 ~ 1 Lacs+",ALIPURDUAR,WestBengal2021,0
36,Suman Kanjilal,BJP,12,Graduate Professional,50,"Rs 40,72,333 ~ 40 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
37,Swapan Roy,IND,0,Graduate,27,"Rs 5,500 ~ 5 Thou+",Rs 0 ~,ALIPURDUAR,WestBengal2021,7
38,Tapan Adhikari,Samajwadi Jan Parishad,0,Graduate,32,"Rs 5,092 ~ 5 Thou+",Rs 0 ~,ALIPURDUAR,WestBengal2021,7
39,Tarani Roy,SUCI(C),0,5th Pass,63,"Rs 11,55,685 ~ 11 Lacs+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
40,Uttam Barua,BSP,0,8th Pass,41,"Rs 13,28,000 ~ 13 Lacs+","Rs 4,50,000 ~ 4 Lacs+",ALIPURDUAR,WestBengal2021,0
41,Vivek Pradeep Tete,Bhartiya Tribal Party,0,12th Pass,37,"Rs 5,269 ~ 5 Thou+",Rs 0 ~,ALIPURDUAR,WestBengal2021,0
0,Abdul Hai Mallik,IND,0,8th Pass,49,"Rs 1,60,171 ~ 1 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
1,Abir Chandra Mandal,IND,0,Graduate Professional,38,"Rs 8,09,000 ~ 8 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
2,Aditya Kumar Bauri,Bahujan Mukti Party,0,12th Pass,55,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,BANKURA,WestBengal2021,0
3,Ajit Ray,CPI(M),0,10th Pass,46,"Rs 9,26,792 ~ 9 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
4,Akshay Santra,INC,0,Graduate,36,"Rs 1,75,000 ~ 1 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,7
5,Alok Mukherjee,AITC,0,10th Pass,61,"Rs 19,92,033 ~ 19 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
6,Amarnath Shakha,BJP,6,10th Pass,56,"Rs 65,81,000 ~ 65 Lacs+","Rs 1,00,000 ~ 1 Lacs+",BANKURA,WestBengal2021,0
7,Anath Bauri,IND,0,8th Pass,47,"Rs 48,424 ~ 48 Thou+","Rs 25,000 ~ 25 Thou+",BANKURA,WestBengal2021,0
8,Apurba Mondal,SUCI(C),0,Graduate,32,"Rs 2,62,000 ~ 2 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,7
9,Archita Bid,AITC,0,Graduate,32,"Rs 96,99,763 ~ 96 Lacs+","Rs 19,93,402 ~ 19 Lacs+",BANKURA,WestBengal2021,7
10,Arup Chakraborty,AITC,0,Graduate Professional,65,"Rs 8,82,51,416 ~ 8 Crore+","Rs 3,98,58,383 ~ 3 Crore+",BANKURA,WestBengal2021,0
11,Arup Kumar Khan,AITC,0,Graduate,65,"Rs 69,67,775 ~ 69 Lacs+","Rs 6,02,553 ~ 6 Lacs+",BANKURA,WestBengal2021,7
12,Asim Kumar Mandal,IND,0,Graduate,47,"Rs 2,02,200 ~ 2 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,7
13,Avranil Mandal,SUCI(C),0,Graduate,34,"Rs 94,900 ~ 94 Thou+",Rs 0 ~,BANKURA,WestBengal2021,7
14,Bablu Gorai,Bahujan Mukti Party,0,12th Pass,37,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,BANKURA,WestBengal2021,0
15,Baidyanath Kisku,IND,0,Graduate,40,"Rs 1,10,000 ~ 1 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,7
16,Baidyanath Roy,IND,0,Post Graduate,57,"Rs 31,45,000 ~ 31 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
17,Basudeb Sikari,Bahujan Mukti Party,0,12th Pass,45,"Rs 29,66,137 ~ 29 Lacs+","Rs 6,80,000 ~ 6 Lacs+",BANKURA,WestBengal2021,0
18,Bikash Patra,CPI(ML) Red Star,0,10th Pass,52,"Rs 79,700 ~ 79 Thou+",Rs 0 ~,BANKURA,WestBengal2021,0
19,Biswanath Sardar,IND,0,Graduate,44,"Rs 21,77,500 ~ 21 Lacs+","Rs 6,88,000 ~ 6 Lacs+",BANKURA,WestBengal2021,7
20,Chandana Bauri,BJP,0,10th Pass,30,"Rs 62,296 ~ 62 Thou+",Rs 0 ~,BANKURA,WestBengal2021,0
21,Deblina Hembram,CPI(M),1,10th Pass,50,"Rs 18,93,732 ~ 18 Lacs+","Rs 45,000 ~ 45 Thou+",BANKURA,WestBengal2021,0
22,Debu Chatterjee,INC,0,Graduate,38,"Rs 57,44,507 ~ 57 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,7
23,Dibakar Gharami,BJP,0,8th Pass,43,"Rs 4,97,000 ~ 4 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
24,Dinabandhu Bauri,Bahujan Mukti Party,0,12th Pass,29,"Rs 3,70,000 ~ 3 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
25,Dinanath Chatterjee,IND,0,12th Pass,50,"Rs 64,91,916 ~ 64 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
26,Dipen Bauri,SUCI(C),0,10th Pass,49,"Rs 1,56,500 ~ 1 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
27,Dr. Shyamal Santra,AITC,0,Doctorate,41,"Rs 60,23,310 ~ 60 Lacs+","Rs 24,71,586 ~ 24 Lacs+",BANKURA,WestBengal2021,10
28,Falguni Mukherjee,Revolutionary Socialist Party,1,12th Pass,64,"Rs 5,52,503 ~ 5 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
29,Fulchand Hansda,Bahujan Mukti Party,0,Graduate,52,"Rs 1,11,000 ~ 1 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,7
30,Goutam Kumar Mudi,SUCI(C),1,Post Graduate,51,"Rs 19,49,000 ~ 19 Lacs+","Rs 7,35,000 ~ 7 Lacs+",BANKURA,WestBengal2021,0
31,Harakali Protiher,BJP,0,Post Graduate,40,"Rs 66,41,745 ~ 66 Lacs+","Rs 35,00,000 ~ 35 Lacs+",BANKURA,WestBengal2021,0
32,Haripada Mahato,IND,0,Post Graduate,34,"Rs 43,00,227 ~ 43 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
33,Haru Roy,BSP,1,Post Graduate,29,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,BANKURA,WestBengal2021,0
34,Hulu Kshetrapal,Bahujan Mukti Party,0,10th Pass,72,"Rs 21,031 ~ 21 Thou+",Rs 0 ~,BANKURA,WestBengal2021,0
35,Jyotsna Mandi,AITC,0,Others,35,"Rs 41,01,144 ~ 41 Lacs+","Rs 2,34,000 ~ 2 Lacs+",BANKURA,WestBengal2021,0
36,Krishna Chandra Bauri,IND,0,12th Pass,61,"Rs 9,01,318 ~ 9 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
37,Kshudiram Tudu,BJP,0,Graduate Professional,49,"Rs 13,25,600 ~ 13 Lacs+","Rs 4,00,000 ~ 4 Lacs+",BANKURA,WestBengal2021,0
38,Lina Ghosh,SUCI(C),0,Graduate,43,"Rs 13,86,500 ~ 13 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,7
39,Manoranjan Patra,CPI(M),3,12th Pass,65,"Rs 41,19,000 ~ 41 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
40,Milan Mandi,Rashtriya Secular Majlis Party,5,10th Pass,41,"Rs 3,12,000 ~ 3 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
41,Mohan Santra,SUCI(C),0,Literate,58,"Rs 3,01,000 ~ 3 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,2
42,Mrityunjoy Murmu,AITC,0,10th Pass,47,"Rs 10,18,005 ~ 10 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
43,Nandadulal Bauri,CPI(M),0,Graduate,51,"Rs 4,70,077 ~ 4 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,7
44,Nayan Kumar Shill(Bagdi),CPI(M),0,Graduate,48,"Rs 51,047 ~ 51 Thou+","Rs 22,000 ~ 22 Thou+",BANKURA,WestBengal2021,7
45,Niladri Sekhar Dana,BJP,0,12th Pass,54,"Rs 1,90,01,000 ~ 1 Crore+",Rs 0 ~,BANKURA,WestBengal2021,0
46,Nirmal (Bablu) Banerjee,CPI(ML)(L),0,8th Pass,53,"Rs 1,41,262 ~ 1 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
47,Nirmal Kumar Dhara,BJP,0,Post Graduate,39,"Rs 1,700 ~ 1 Thou+",Rs 0 ~,BANKURA,WestBengal2021,0
48,Rabindranath Bouri,IND,0,8th Pass,56,"Rs 1,40,783 ~ 1 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
49,Radharani Banerjee,INC,0,12th Pass,53,"Rs 49,18,629 ~ 49 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
50,Ramkrishna Maji,IND,0,12th Pass,30,"Rs 18,451 ~ 18 Thou+",Rs 0 ~,BANKURA,WestBengal2021,0
51,Runu Mete,AITC,0,5th Pass,41,"Rs 96,44,837 ~ 96 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
52,Sadananda Mandal,SUCI(C),0,12th Pass,54,"Rs 71,94,363 ~ 71 Lacs+","Rs 19,56,340 ~ 19 Lacs+",BANKURA,WestBengal2021,0
53,Sadhan Chattaraj,BSP,0,12th Pass,35,Rs 500 ~ 5 Hund+,Rs 0 ~,BANKURA,WestBengal2021,0
54,Sandip Kumar Dey,IND,1,Post Graduate,37,"Rs 36,45,000 ~ 36 Lacs+","Rs 21,00,000 ~ 21 Lacs+",BANKURA,WestBengal2021,0
55,Sangeeta Malik,AITC,0,Post Graduate,38,"Rs 12,39,477 ~ 12 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
56,Sanjay Bauri,Bahujan Mukti Party,0,12th Pass,33,"Rs 21,000 ~ 21 Thou+",Rs 0 ~,BANKURA,WestBengal2021,0
57,Satyam Bauri,IND,0,12th Pass,31,"Rs 67,000 ~ 67 Thou+",Rs 0 ~,BANKURA,WestBengal2021,0
58,Satyanarayan Mukhopadhyay,BJP,0,Graduate Professional,51,"Rs 27,45,685 ~ 27 Lacs+","Rs 4,00,000 ~ 4 Lacs+",BANKURA,WestBengal2021,0
59,Sayantika Banerjee,AITC,0,Graduate,35,"Rs 45,59,462 ~ 45 Lacs+","Rs 40,87,240 ~ 40 Lacs+",BANKURA,WestBengal2021,7
60,Shashibhusan Banerjee,SUCI(C),0,12th Pass,61,"Rs 10,08,176 ~ 10 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
61,Shyamal Kumar Sarkar (Benu),BJP,7,Graduate,60,"Rs 2,31,41,101 ~ 2 Crore+",Rs 0 ~,BANKURA,WestBengal2021,7
62,Shyamapada Mudi,SUCI(C),0,Graduate,50,"Rs 23,78,000 ~ 23 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,7
63,Sk. Hasimuddin,IND,0,10th Pass,33,"Rs 1,86,431 ~ 1 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
64,Sontosh Kumar Mondal,AITC,0,Post Graduate,46,"Rs 2,65,84,395 ~ 2 Crore+","Rs 45,80,229 ~ 45 Lacs+",BANKURA,WestBengal2021,0
65,Subasish Batabyal,AITC,0,Post Graduate,64,"Rs 1,05,39,450 ~ 1 Crore+",Rs 0 ~,BANKURA,WestBengal2021,0
66,Subhendu Mahata,SUCI(C),0,10th Pass,45,"Rs 7,56,000 ~ 7 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
67,Sudarshan Adhikari,SUCI(C),0,10th Pass,52,"Rs 2,88,600 ~ 2 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
68,Sudhanshu Hansda,BJP,0,Graduate,38,"Rs 41,74,000 ~ 41 Lacs+","Rs 11,00,000 ~ 11 Lacs+",BANKURA,WestBengal2021,7
69,Sudhir Kumar Murmu,CPI(ML)(L),0,10th Pass,52,"Rs 2,26,000 ~ 2 Lacs+","Rs 5,00,000 ~ 5 Lacs+",BANKURA,WestBengal2021,0
70,Sujit Chakraborty,CPI(M),2,Graduate,53,"Rs 58,86,347 ~ 58 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,7
71,Sukchand Saren,IND,0,10th Pass,58,"Rs 22,17,000 ~ 22 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,0
72,Sunil Murmu,IND,0,12th Pass,39,"Rs 25,200 ~ 25 Thou+",Rs 0 ~,BANKURA,WestBengal2021,0
73,Supriti Chatterjee,BJP,0,10th Pass,39,"Rs 10,17,774 ~ 10 Lacs+","Rs 1,75,944 ~ 1 Lacs+",BANKURA,WestBengal2021,0
74,Swadesh Mandal,IND,0,Post Graduate,38,"Rs 1,15,67,840 ~ 1 Crore+","Rs 63,00,000 ~ 63 Lacs+",BANKURA,WestBengal2021,0
75,Swapan Kumar Das,IND,0,Graduate,45,"Rs 23,01,294 ~ 23 Lacs+","Rs 6,67,886 ~ 6 Lacs+",BANKURA,WestBengal2021,7
76,Tanmay Ghosh (Bumba),BJP,0,Graduate,42,"Rs 4,47,39,508 ~ 4 Crore+","Rs 1,07,03,064 ~ 1 Crore+",BANKURA,WestBengal2021,7
77,Tarani Roy,IND,0,Illiterate,69,"Rs 1,07,500 ~ 1 Lacs+",Rs 0 ~,BANKURA,WestBengal2021,1
78,Tarapada Chakrabarti,AIFB,0,Post Graduate,75,"Rs 1,07,12,000 ~ 1 Crore+",Rs 0 ~,BANKURA,WestBengal2021,0
0,Abdus Salam,IND,0,8th Pass,63,"Rs 60,500 ~ 60 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,0
1,Abhijit Roy,AITC,0,Graduate,52,"Rs 91,66,818 ~ 91 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,7
2,Abhijit Sinha (Rana),AITC,0,Post Graduate,54,"Rs 1,08,19,918 ~ 1 Crore+",Rs 0 ~,BIRBHUM,WestBengal2021,0
3,Amarjit Fulmali,JD(U),0,Graduate,43,"Rs 8,58,288 ~ 8 Lacs+","Rs 2,49,000 ~ 2 Lacs+",BIRBHUM,WestBengal2021,7
4,Anirban Ganguly,BJP,0,Doctorate,44,"Rs 33,27,821 ~ 33 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,10
5,Ansarul Saiekh,SUCI(C),0,Illiterate,47,"Rs 53,733 ~ 53 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,1
6,Anup Kumar Saha,BJP,2,Post Graduate,34,"Rs 4,40,957 ~ 4 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
7,Asif Ekbal,INC,0,Graduate,44,"Rs 36,01,318 ~ 36 Lacs+","Rs 6,72,072 ~ 6 Lacs+",BIRBHUM,WestBengal2021,7
8,Asish Banerjee,AITC,0,Doctorate,69,"Rs 1,80,27,294 ~ 1 Crore+",Rs 0 ~,BIRBHUM,WestBengal2021,10
9,Bahadur Ghosh,Purvanchal Mahapanchayat,0,10th Pass,28,"Rs 20,59,200 ~ 20 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
10,Bhaskar Das,BSP,0,Graduate,58,"Rs 15,500 ~ 15 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,7
11,Bidhan Chandra Majhi,AITC,0,Post Graduate,40,"Rs 18,73,136 ~ 18 Lacs+","Rs 23,66,807 ~ 23 Lacs+",BIRBHUM,WestBengal2021,0
12,Bijoy Bagdi,AIFB,0,10th Pass,64,"Rs 12,33,258 ~ 12 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
13,Bikash Roychoudhury,AITC,0,Graduate,68,"Rs 4,17,10,699 ~ 4 Crore+","Rs 5,41,286 ~ 5 Lacs+",BIRBHUM,WestBengal2021,7
14,Bipad Taran Dom,BSP,0,12th Pass,25,"Rs 40,200 ~ 40 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,0
15,Biswajit Mondal,BJP,5,Graduate,48,"Rs 9,37,253 ~ 9 Lacs+","Rs 1,59,584 ~ 1 Lacs+",BIRBHUM,WestBengal2021,7
16,Chanchal Chatterjee,INC,0,Graduate,47,"Rs 99,99,493 ~ 99 Lacs+","Rs 48,98,327 ~ 48 Lacs+",BIRBHUM,WestBengal2021,7
17,Chandipada Das,BSP,0,Literate,47,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,2
18,Chandra Nath Sinha,AITC,0,Post Graduate,58,"Rs 4,34,11,414 ~ 4 Crore+",Rs 0 ~,BIRBHUM,WestBengal2021,0
19,Debabrata Saha,AITC,0,Post Graduate,37,"Rs 86,45,045 ~ 86 Lacs+","Rs 15,50,458 ~ 15 Lacs+",BIRBHUM,WestBengal2021,0
20,Debasish Roy,BJP,0,8th Pass,39,"Rs 4,69,240 ~ 4 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
21,Dhananjoy Mazumdar,IND,0,10th Pass,41,"Rs 27,66,454 ~ 27 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
22,Dinabandhu Mondal,BSP,0,12th Pass,68,"Rs 85,200 ~ 85 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,0
23,Dipak Chatterjee,AIFB,2,10th Pass,56,"Rs 31,62,479 ~ 31 Lacs+","Rs 7,49,685 ~ 7 Lacs+",BIRBHUM,WestBengal2021,0
24,Dr Mosarraf Hossain,AITC,0,Graduate Professional,58,"Rs 3,58,91,748 ~ 3 Crore+","Rs 16,74,628 ~ 16 Lacs+",BIRBHUM,WestBengal2021,0
25,Dr. Asok Kumar Chattopadhyay,AITC,0,Post Graduate,63,"Rs 14,75,73,994 ~ 14 Crore+","Rs 1,55,03,000 ~ 1 Crore+",BIRBHUM,WestBengal2021,0
26,Forida Yasmin (Keya),SUCI(C),0,Graduate,41,"Rs 17,99,421 ~ 17 Lacs+","Rs 5,85,000 ~ 5 Lacs+",BIRBHUM,WestBengal2021,7
27,Gopal Sarkar,BSP,0,12th Pass,26,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,0
28,Ibane Rasul (Angur Miya),Bahujan Maha Party,0,8th Pass,34,"Rs 16,070 ~ 16 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,0
29,Jagannath Chattopadhyay,BJP,0,Post Graduate,43,"Rs 91,70,398 ~ 91 Lacs+","Rs 5,90,897 ~ 5 Lacs+",BIRBHUM,WestBengal2021,0
30,Jiten Ray,BSP,0,8th Pass,32,"Rs 8,06,000 ~ 8 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
31,Juthika Dhibar,SUCI(C),0,Graduate,39,"Rs 13,059 ~ 13 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,7
32,Kashinath Pal,Rashtriya Secular Majlis Party,0,10th Pass,54,"Rs 1,87,75,043 ~ 1 Crore+","Rs 4,00,000 ~ 4 Lacs+",BIRBHUM,WestBengal2021,0
33,Khurshid Alam,BSP,0,10th Pass,40,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,0
34,Manik Hansda,Bahujan Mukti Party,0,12th Pass,54,"Rs 15,84,482 ~ 15 Lacs+","Rs 60,000 ~ 60 Thou+",BIRBHUM,WestBengal2021,0
35,Mausumi Konai,CPI(M),0,12th Pass,37,"Rs 6,942 ~ 6 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,0
36,Md. Monibur Rahaman,Justice and Development Party,1,Graduate,29,"Rs 9,03,000 ~ 9 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,7
37,Mihir Kumar Banerjee,Rashtravadi Janata Party,0,12th Pass,67,"Rs 12,29,389 ~ 12 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
38,Miltan Rasid,INC,0,Post Graduate,47,"Rs 33,28,003 ~ 33 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
39,Moinuddin Shams,IND,0,Post Graduate,54,"Rs 4,30,89,569 ~ 4 Crore+",Rs 0 ~,BIRBHUM,WestBengal2021,0
40,Monirul Islam,IND,8,12th Pass,61,"Rs 73,66,901 ~ 73 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
41,Naba Kumar Das,SUCI(C),0,5th Pass,61,"Rs 5,56,174 ~ 5 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
42,Nikhil Banerjee,BJP,1,Graduate,55,"Rs 1,54,34,034 ~ 1 Crore+","Rs 2,48,048 ~ 2 Lacs+",BIRBHUM,WestBengal2021,7
43,Nilabati Saha,AITC,0,Graduate,50,"Rs 1,28,20,081 ~ 1 Crore+","Rs 4,49,237 ~ 4 Lacs+",BIRBHUM,WestBengal2021,7
44,Nitai Ankur,SUCI(C),0,12th Pass,52,"Rs 24,21,400 ~ 24 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
45,Piya Saha,BJP,0,Graduate,35,"Rs 32,84,955 ~ 32 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,7
46,Rajendra Prasad Singh (Raju Singh),AITC,0,8th Pass,48,"Rs 83,07,999 ~ 83 Lacs+","Rs 28,43,603 ~ 28 Lacs+",BIRBHUM,WestBengal2021,0
47,Samarjit Barman,SUCI(C),0,Graduate,37,"Rs 2,11,736 ~ 2 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,7
48,Samsul Miya,Socialist Party (India),0,5th Pass,53,"Rs 5,76,712 ~ 5 Lacs+",Rs 0 ~,BIRBHUM,WestBengal2021,0
49,Sanjay Das,Bahujan Mukti Party,0,10th Pass,39,"Rs 65,000 ~ 65 Thou+",Rs 0 ~,BIRBHUM,WestBengal2021,0
